Tomasz Loska;94:14;4613,45;3,01;4039,79;429,89;103,02;19,99;17,75;4;28,63;2,94;1778,34;19,99;0,0;3;1351,07;0,0;17,75;1;1483,98;0,0;0,0;0;Bruk-Bet Termalica Nieciecza;https://www.transfermarkt.pl/tomasz-loska/profil/spieler/260706
Mateusz Grzybek;94:14;8956,2;11,15;3818,34;3755,08;959,22;367,05;45,36;35;30,66;5,7;3544,72;219,26;17,85;20;3417,81;146,64;27,51;19;1993,78;0,0;0,0;0;Bruk-Bet Termalica Nieciecza;https://www.transfermarkt.pl/mateusz-grzybek/profil/spieler/244782
Wiktor Biedrzycki;94:14;9249,09;7,06;4066,12;3924,48;1082,04;155,75;13,64;17;30,76;5,89;3699,6;44,01;0,0;8;3606,58;111,74;13,64;13;1942,86;0,0;0,0;0;Bruk-Bet Termalica Nieciecza;https://www.transfermarkt.pl/wiktor-biedrzycki/profil/spieler/448671
Nemanja Tekijaski;94:14;9447,23;8,28;3461,38;4176,45;1340,8;367,0;93,32;36;29,43;6,02;3810,68;115,75;41,73;15;3752,39;215,74;51,6;25;1884,2;35,51;0,0;1;Bruk-Bet Termalica Nieciecza;https://www.transfermarkt.pl/nemanja-tekijaski/profil/spieler/562284
Marcin Wasielewski;72:14;8372,66;4,07;2859,83;3414,9;1280,24;503,89;309,73;50;34,05;6,95;3614,25;318,11;194,23;32;3111,79;184,68;115,5;26;1646,62;0,0;0,0;0;Bruk-Bet Termalica Nieciecza;https://www.transfermarkt.pl/marcin-wasielewski/profil/spieler/391374
Piotr Wlazło;94:14;10060,42;6,01;3668,42;4269,86;1760,32;300,41;55,4;26;28,56;6,41;4339,71;145,73;55,4;17;3810,1;137,68;0,0;12;1910,77;17,0;0,0;1;Bruk-Bet Termalica Nieciecza;https://www.transfermarkt.pl/piotr-wlazlo/profil/spieler/134491
Adam Hlousek;94:14;9739,56;7,19;3651,64;3796,22;1340,01;588,86;355,64;58;33,53;6,2;4279,49;327,05;305,37;38;3416,24;260,77;50,27;28;2043,84;1,05;0,0;1;Bruk-Bet Termalica Nieciecza;https://www.transfermarkt.pl/adam-hlousek/profil/spieler/62800
Adam Radwański;72:16;9335,14;7,12;2352,22;4591,11;1616,21;559,0;209,48;50;32,11;7,75;4213,42;298,69;188,88;33;3544,76;236,22;15,98;26;1576,9;24,08;4,61;3;Bruk-Bet Termalica Nieciecza;https://www.transfermarkt.pl/adam-radwanski/profil/spieler/321564
Samuel Stefanik;85:17;10043,02;5,03;3063,11;4885,97;1629,88;394,78;64,25;32;30,72;7,07;4672,4;285,04;30,9;25;3559,28;110,78;33,35;13;1811,26;0,0;0,0;0;Bruk-Bet Termalica Nieciecza;https://www.transfermarkt.pl/samuel-stefanik/profil/spieler/132376
Ernest Terpiłowski (M);85:07;9730,46;11,39;3062,74;4144,79;1384,52;704,76;422,26;66;34,3;6,86;4181,33;394,67;268,85;42;3865,25;303,53;153,41;36;1683,86;6,55;0,0;2;Bruk-Bet Termalica Nieciecza;https://www.transfermarkt.pl/ernest-terpilowski/profil/spieler/573345
